Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,"Children out of school, primary, female",,,,,,,,,,,"Children out of school, primary, male",,,,,,,,,,,"Labor force, total",,,,,,,,,,,,Trained teachers in primary education (% of total teachers),,,,,,,,,,
Small states,SST,84.44706726,84.65466309,85.50408936,85.73738098,85.86608887,86.50906372,86.95327759,86.79508209,87.16100311,87.24938965,87.52741241,,5.028724909,4.296020031,3.50744009,4.843880177,5.1244452,5.249969959,5.236124992,5.02312994,5.26320982,4.20869565,4.355955124,,10.8600798,10.49934594,10.39133113,10.60401569,10.29345397,10.19746542,10.2137571,9.801120091,9.335476341,9.108016379,10.38925044,10.3723357,263857,251744,246865,248630,248523,242625,241022,235998,240371,233497,233784,281945,265949,267669,270750,273125,268045,267561,262813,265934,267063,269258,14843286,15194066,15548582,15977263,16308038,16651702,17018347,17370613,17692726,18069887,17972691,18346984,79.44869995,79.22631836,77.83210754,80.07676697,82.4213562,82.11363983,81.50363922,81.30497742,82.58293915,81.05362701,75.87110138
Sao Tome and Principe,STP,81.78463745,107.6342697,90.09963989,94.68756104,85.47091675,86.14948273,77.48246765,84.34609222,,,,,9.651470184,8.89109993,6.339509964,5.939690113,3.749059916,3.864599943,5.173039913,5.036369801,5.235109806,5.921549797,5.01138401,,14.60499954,14.1079998,13.59000015,13.64900017,13.70499992,13.8210001,13.89400005,13.97399998,14.06099987,14.14400005,15.74600029,15.9090004,1182,,,1774,1832,2024,,1037,,,,1536,,,1954,1870,1793,,1063,,,,55913,57199,58373,59486,60634,61874,63211,64632,66132,67694,67794,70046,49.40119934,,32.75547028,31.20000076,33.0170784,34.35115051,31.09540939,27.40988922,,,
Suriname,SUR,87.05618286,86.43058777,86.74710846,85.93081665,89.10131836,89.56555176,88.04000092,85.34783936,85.14813232,85.86408234,90.32476807,,,,,,,5.534684658,5.640516758,5.458669662,4.922540188,6.832258701,5.007072449,,7.150000095,7.539999962,8.100000381,6.599999905,6.940000057,7.21999979,7.920000076,7.903999805,7.926000118,8.039999962,9.777999878,10.06499958,2371,2856,2787,2967,2886,2589,2197,3560,3640,3206,3070,3892,4562,4337,4432,4779,4006,3653,5019,4961,4470,4301,197128,202488,207824,213155,218527,223954,229219,232429,235808,238539,230203,235999,95.74646759,96.37294769,97.5891571,97.24285889,97.39691925,97.97960663,98.19265747,98.38011169,98.95133209,,99.24598694
Slovak Republic,SVK,99.06211853,96.09583282,93.18823242,94.59078217,96.30828857,95.96457672,92.44306183,91.90563202,92.17269135,95.22947693,,,4.060910225,3.915199995,3.874190092,4.084050179,4.230410099,4.592060089,3.91286993,3.942780018,3.972569942,,,,14.38000011,13.61999989,13.96000004,14.22000027,13.18000031,11.47999954,9.670000076,8.130000114,6.539999962,5.75,6.690000057,6.739999771,5287,5932,4674,4430,5532,6683,7296,6061,4809,3705,,5122,5738,4476,4113,5502,6676,7256,6493,5387,3853,,2692685,2688336,2715024,2722135,2727406,2741202,2763502,2760684,2753602,2750063,2722079,2776061,,,,,95.90000153,,,,,,
Slovenia,SVN,97.21166992,96.34835815,101.9722519,99.29289246,100.0733337,98.08544922,97.90014648,95.69824982,97.39997101,98.55384064,,,5.545460224,5.541259766,5.620230198,5.405729771,5.291699886,4.909530163,4.792669773,4.780539989,4.935870171,,,,7.239999771,8.170000076,8.840000153,10.10000038,9.670000076,8.960000038,8,6.559999943,5.110000134,4.449999809,4.96999979,4.422999859,324,26,,144,207,,,,,,,359,327,,574,687,,,,,,,1042561,1020296,1014145,1009228,1016311,1009297,996075,1027464,1036443,1029535,1030725,1036306,,,,,,,,,,,
Sweden,SWE,96.71507263,101.3979416,102.6794815,102.461853,101.0252991,103.7717667,105.2293091,105.3862762,104.1240463,105.0860825,,,6.522689819,6.366919994,7.536970139,7.611209869,7.573729992,7.443900108,7.618619919,7.568830013,7.640840054,,,,8.609999657,7.800000191,7.980000019,8.050000191,7.949999809,7.429999828,6.989999771,6.71999979,6.360000134,6.829999924,8.289999962,8.661000252,,,,,,,,,,,,,,,,,,,,,,,4943074,5001509,5036384,5100683,5143977,5186870,5252218,5337330,5399893,5455406,5489900,5559530,,,,,,,,,,,
Eswatini,SWZ,83.22717285,83.8032074,84.69747162,86.04702759,84.54666138,89.14315033,95.14885712,95.81926727,94.48487091,88.59642792,,,6.118370056,6.864329815,,,7.070590019,5.355750084,5.414669991,6.138090134,5.679160118,5.645549774,5.342339993,4.995297909,26.40600014,25.81100082,25.14900017,24.54999924,23.9659996,23.32900047,22.71999931,22.75300026,22.79199982,22.83699989,25.50900078,25.75600052,12301,9550,12968,15980,15245,16453,16596,17972,17707,16301,,11133,3786,9613,14249,13891,15323,15389,17918,16087,15101,,328564,331407,334565,337931,341328,344733,349533,354049,358533,363334,355218,365895,79.33807373,77.56295776,67.58101654,79.14659119,81.64859772,82.08409882,66.87586212,87.7128067,,,
Sint Maarten (Dutch part),SXM,,,92,,123.09198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,110.5182877,110.2386475,104.5665588,104.5771866,111.4109497,108.7547226,112.6462021,102.1970215,101.8531189,98.80000305,102.6797409,,3.548259974,3.606440067,2.613929987,3.608129978,4.083680153,4.222899914,4.421020031,3.677289963,4.498839855,3.914589882,5.150725365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.23877716,86.7378006,76.4790802,69.44023895,71.29908752,83.63913727,82.91925049,84.00621033,84.97653198,84.2767334,82.50401306
Syrian Arab Republic,SYR,103.3670502,106.9108963,113.6243134,72.29299164,,,,,,,,,,,,,,,,,,,,,8.609999657,8.69699955,8.807999611,8.826000214,8.720999718,8.711999893,8.725000381,8.751999855,8.755000114,8.772999763,10.25699997,10.57299995,,,,263550,,,,,,,,,,,259499,,,,,,,,5711132,5780545,5687929,5550984,5407933,5287382,5194637,5132859,5124131,5194844,5170635,5448131,,,,,,,,,,,
Turks and Caicos Islands,TCA,,,,,,,,,129.401413,,,,,,,,,3.093250036,2.907445669,2.740551949,2.743769884,2.505089998,3.270499706,4.494299889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.12281036,,,,42.78845978,,95.72953796
Chad,TCD,30.86058044,33.93759155,34.40066147,37.66218948,,37.49597168,41.32025909,37.92238998,40.56021881,,,,1.981940031,2.2579,2.206150055,2.850709915,2.599999905,2.400000095,2.299999952,2.454819918,2.25948,2.372459888,2.908510447,,0.963999987,1,1.006000042,1.029000044,1.046000004,1.07099998,1.103999972,1.118999958,1.129999995,1.123000026,1.741999984,1.881999969,,497469,,378487,,379252,453380,539891,466355,483664,,,318921,,130523,,132382,221475,300374,227216,240215,,3925808,4034855,4151116,4272988,4398728,4527305,4649302,4774387,4902823,5074502,5085739,5306324,70.16999817,68.48084259,65.96630096,64.98017883,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,96.03546143,94.91371918,95.36608887,94.93994904,92.29142761,91.04653931,93.65912628,95.89965057,98.12188721,98.21929169,97.51289368,,3.508440018,4.065494895,4.307069778,3.852509975,3.505784988,3.792270064,3.715570092,3.511590004,3.09493506,3.234369993,,,4.166124243,4.117525707,4.051229926,4.055160194,4.047041952,4.122539417,4.035378295,3.927918544,3.809416136,3.914803878,4.4101092,4.317598145,2880586,2459219,2693922,2722913,2769471,2838047,3019436,2869000,2881752,3027527,3000267,3215733,3290060,2897739,3164555,2932529,2761956,2677495,2503815,2433918,2556471,2531923,1066193778,1080328463,1089357304,1095600089,1105018455,1112838655,1117954442,1121833260,1128431097,1133768584,1123465108,1127903458,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,97.52464294,98.68228912,97.95535278,98.38561249,97.96681213,98.87851715,97.00447083,97.79194641,97.71723175,99.37789917,99.22129059,,4.102694988,4.01583004,3.901690006,4.058229923,3.970429897,3.834029913,3.962090015,4.075270176,4.454934835,3.916650057,,,8.563194036,8.015573788,7.528100481,7.58619985,7.661605993,7.628943666,7.451472929,7.093585839,6.691823963,6.775927519,7.398618808,7.272215214,435983,424694,428339,371874,396005,362691,367420,357856,366028,363624,436563,419707,408875,412496,356162,408469,388087,395613,379991,397951,403468,487702,204138609,205731466,206459052,207398397,208610749,209589337,210496771,211581844,212151893,211765482,207491730,207560181,96.97453308,96.37406158,95.17933655,95.72566986,95.2207489,95.0032196,94.98148346,94.77787018,94.86486053,94.33132935,93.509552
Togo,TGO,70.35707855,71.91786957,75.12908173,78.34172821,84.20050049,,92.71514893,91.60781097,89.67256165,87.42386627,88.35926056,,4.096350193,4.309299946,4.719200134,4.423649788,4.78455019,5.10860014,3.686490059,3.760529995,4.043940067,4.069143295,3.991246223,,2.431999922,1.980000019,2.03399992,2.088999987,2.144999981,2.200000048,2.96600008,3.74000001,3.729000092,3.719000101,3.944999933,4.004000187,,,,,62871,52778,66095,63145,48733,25663,,,,,,26541,16818,30316,27382,17695,14408,,2145451,2204745,2266629,2331011,2397717,2466671,2536878,2609095,2683601,2760567,2817960,2905587,76.70282745,70.79670715,82.13861084,76.06690979,,73.32920074,,,,76.70950317,75.71788025
Thailand,THA,,,,,,,,93.4525528,93.42047119,94.41137695,95.06307983,,3.508440018,4.805550098,4.536709785,4.1240201,3.723560095,3.759670019,3.637520075,3.355730057,3.056770086,2.968980074,,,0.620000005,0.660000026,0.579999983,0.25,0.579999983,0.600000024,0.689999998,0.829999983,0.769999981,0.720000029,1.100000024,1.417999983,,,,,,,,,,,,,,,,,,,,,,,38876587,40083149,40234291,39030418,39079265,39026171,38766594,38609507,39029222,38777939,39036695,39052564,,,,,100,100,100,100,,100,100
Tajikistan,TJK,101.6947098,102.7377167,98.15614319,,99.51608276,101.0742493,95.38155365,94.91239166,,,,,4.006750107,3.935110092,4.018030167,,,4.967740059,5.763679981,5.83796978,5.5583601,5.712900162,,,10.89000034,10.24100018,9.576000214,8.907999992,8.229999542,7.553999901,6.900000095,6.953999996,7.012000084,7.06099987,7.583000183,7.754000187,,,,,6083,8466,8863,,,,,,,,,3323,4830,4717,,,,,2033712,2084921,2138343,2192213,2244650,2295335,2345090,2360549,2377495,2396457,2421183,2463025,92.93756866,93.66168213,93.91297913,94.07849884,100,100,100,100,,,
Turkmenistan,TKM,,,,,,,,,,,,,,,3.049249887,,,,,,,3.120650053,,,4,4.089000225,4.085999966,4.110000134,4.144999981,4.138999939,4.169000149,4.203999996,4.234000206,4.268000126,4.951000214,5.080999851,,,,,,,,,,,,,,,,,,,,,,,1754183,1765916,1778053,1788257,1800285,1821451,1837391,1860370,1887802,1914022,1921328,1943398,,,,,,,,,,99.20272827,99.86341095
Latin America & the Caribbean (IDA & IBRD countries),TLA,99.90862274,100.1242294,100.8054504,100.4788513,100.7568817,99.40239716,99.19718933,98.76174927,98.22865295,98.23388672,98.33348846,,4.83382988,4.596485138,4.643070221,4.84394002,4.789110184,4.470389843,4.372780085,4.470970154,4.459549904,4.225659847,4.432691097,,6.834902795,6.495656819,6.423581219,6.372499549,6.17629737,6.679264097,7.80167913,8.089246629,7.977830848,8.03829707,10.19877498,10.09161308,669065,891081,812388,806647,838326,798179,812067,773810,728724,686648,694356,840274,974380,1003711,933921,1017441,995488,1030932,990701,942935,906168,962993,262744863,266047763,270855168,275138611,278617161,282897178,286947857,291342212,295828744,300083531,279907858,295571844,79.89923859,80.3004303,80.69387054,79.88260651,80.55596161,81.66796875,82.03022003,82.07222748,82.19763947,82.27957916,
Timor-Leste,TLS,75.09874725,78.7917099,83.32792664,88.95036316,93.43956757,100.0959473,99.2806015,99.89826965,103.8459091,105.1983414,,,11.10760975,10.1947298,7.163169861,5.667170048,7.515490055,8.445150375,8.078379631,7.034530163,6.727479935,,,,3.299999952,3.546999931,3.75999999,4.017000198,4.210000038,4.446000099,4.659999847,4.760000229,4.730999947,4.505000114,4.90500021,5.073999882,10261,7912,9018,7684,5761,3998,3831,1511,2639,2729,,8271,5643,7642,7137,7487,6488,6357,4177,5089,6275,,424005,436153,447786,460091,472478,485881,499932,515795,531144,545590,555034,567627,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,89.3651123,90.39914703,92.17250824,89.57243347,89.82200623,89.50932312,89.46559143,89.17035675,90.35562897,91.77465057,92.46566772,,,,,,,3.930850029,4.050000191,,,3.32583499,,,10.68316195,11.45858323,11.67949085,11.40317578,11.58113372,11.8188549,11.92670029,11.92957939,11.46252037,10.60498682,12.09027516,12.04671365,1390474,1356138,1255084,1428249,1525326,1531212,1523156,1475922,1431838,,,763447,826716,669533,838382,979760,1014755,1040387,978419,944072,,,100712147,100994025,103358162,105598636,106578987,108515811,110695763,111601942,112552868,113532045,111196396,113918713,91.56114197,,82.77693939,81.1682663,83.66251373,83.38204956,83.1113205,83.94078064,84.01033783,82.23074341,81.22837067
Tonga,TON,,,103.5684967,116.0971603,,,,,,,108.4460831,,,,,,,,,,6.372910023,7.959630013,,,1.736999989,1.789000034,2.065999985,2.242000103,2.36500001,2.549999952,2.569000006,2.815000057,3.069999933,3.062000036,3.628000021,3.967999935,,,,,,,,,,,,,,,,,,,,,,,33199,32827,32300,31740,31269,30959,30858,30936,31119,31687,31897,32319,,,,99.55223846,97.05882263,92.48407745,,,94.87835693,92.85713959,94.09499359
South Asia (IDA & IBRD),TSA,87.38960266,86.95903778,89.01603699,90.6337738,92.09108734,92.46260071,91.89880371,91.26689911,90.04792786,90.21990967,92.24263,,3.377690077,2.841879964,2.732789993,2.755774975,2.969030023,3.255800009,3.511980057,3.839380026,3.781764984,2.860664964,,,4.844416491,4.789947317,4.914520981,5.067260715,4.965315387,5.143848195,5.145693213,5.118739344,5.119796324,5.020013755,7.239793182,5.789607971,7444188,7696238,7355334,6568672,8196148,8713451,8394453,8378104,8358661,7920938,7569763,8449894,9452175,8201132,7071372,8082457,8679306,8058007,8147556,7233310,7050627,7665335,601555081,604625103,608279132,615322902,620997657,628462239,634183483,642208950,646948832,659848222,632156754,650424329,,,,76.78054047,76.06672668,73.83254242,64.95292664,69.53205872,75.22470093,72.39320374,75.76257324
Sub-Saharan Africa (IDA & IBRD countries),TSS,67.94991302,67.76663971,67.97173309,67.93390656,68.10738373,68.32842255,68.52223206,68.88542175,69.61573792,69.80940247,70.39556885,,3.521014929,3.558290005,3.434469938,3.61578989,3.648190022,3.735805035,3.561609983,3.789769888,3.781275034,3.586113095,3.443016052,,6.003786554,5.927226925,5.854132229,5.70888084,5.786197662,5.820774834,6.236479552,6.466443816,6.484791635,6.610784447,7.280552852,7.657128253,18062644,17540962,17525916,17619484,17906628,18684074,18747508,19170916,19184294,19807892,20210340,14448762,13906358,14369087,14291937,14712602,15260978,15393462,15768452,15627118,16457861,16925288,334913260,343711537,350590763,358257433,368445898,379907235,391243583,403187891,415332597,428103634,430661634,447369461,71.02468109,68.06987,71.35125732,66.42688751,65.72503662,66.84121704,67.25202942,69.19618988,68.9436264,67.87859344,
Trinidad and Tobago,TTO,94.93678284,,,,,,,,,,,,,4.296020031,4.54982996,5.118800163,5.331940174,3.387208223,3.953912735,3.575496912,3.304037809,3.698091507,4.103740215,,4.03000021,3.430000067,3.720000029,2.680000067,2.480000019,2.430000067,3.210000038,3.275000095,3.336999893,3.421999931,4.56799984,4.804999828,953,,,,,,,,,,,556,,,,,,,,,,,640808,635172,651603,652144,663466,651962,648108,650760,654191,657766,634920,642413,,,,,,,,,,,81.71800232
Tunisia,TUN,98.96885681,,,96.80471802,99.71772766,103.311409,99.01363373,95.0537796,,,106.4673386,,5.963039875,7.554369926,5.950860023,6.967450142,6.881869793,6.220449924,7.32434988,,,,,,13.05000019,18.32999992,17.62999916,15.93000031,15.05700016,15.15999985,15.56000042,15.32999992,15.46000004,15.13000011,16.59199905,16.8239994,,,,,,,,,,,,,,,,,,,,,,,3823273,3889386,3973317,3974366,3990952,4010477,4052457,4076291,4112372,4155002,4115538,4151766,,,100,100,100,100,100,100,100,,100
Turkiye,TUR,98.97466278,101.2482376,99.8199234,,91.39781952,92.23309326,,89.74890137,88.52777863,90.84677124,,,,,,,,,,,4.294069767,,,,10.65999985,8.800000191,8.149999619,8.729999542,9.880000114,10.23999977,10.84000015,10.81999969,10.89000034,13.67000008,13.10999966,13.38599968,143203,172925,216743,183138,149901,147831,162135,143085,138292,133381,,104663,138850,187346,159688,127425,129839,148729,130376,128269,126143,,25446167,26568558,27139481,28208333,28906173,29937508,30980381,32114851,32982454,33420003,31624253,32618920,,,,,,,,,,,
Tuvalu,TUV,,,,,86.97479248,91.70124054,84.77365875,,78.71485901,76.89243317,89.37007904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,49,113,,,170,125,,,,,60,22,65,,,127,148,,,,,,,,,,,,,,,,,,,76.62338257,,80,78.30188751,
Tanzania,TZA,91.04519653,95.03222656,82.11129761,76.7352066,69.87106323,65.14202881,61.57209015,68.09828949,68.70372772,65.74707031,68.73860931,,4.541699886,3.558290005,3.470930099,3.357959986,3.384880066,4.194869995,4.101970196,4.430510044,3.696439981,3.596836329,3.225153446,3.297790289,2.986000061,3.470000029,3.227999926,2.930000067,2.119999886,2.142999887,2.157999992,2.177000046,2.20600009,2.221999884,2.528000116,2.648999929,262504,,487610,604459,685233,,668354,700780,842001,749689,808847,341937,,613318,766009,895054,,895289,911042,1053124,962961,1003880,21098392,21585797,22091927,22617022,23163684,23910182,24708750,25539231,26405597,27312036,28002234,29043312,94.49945068,,,98.98621368,,,99.19595337,,,,
Uganda,UGA,57.17232895,55.07318115,56.38832855,56.45769882,59.89649963,53.77228928,54.74301147,52.67176056,,,,,1.727399945,2.298909903,1.797469974,1.871140003,1.914720058,2.32152009,2.1378901,2.253639936,2.130520105,1.529999971,2.586275816,2.665053129,3.585999966,3.513000011,3.549999952,1.909999967,1.906000018,1.911000013,1.919999957,1.932000041,1.922999978,1.924999952,2.767999887,2.936000109,253910,147562,,109769,,,,,,,,321245,222755,,219128,,,,,,,,11566242,11984747,12426422,12881275,13373455,13908256,14496926,15134634,15803182,16480192,16497309,17351430,,,97.65605164,76.48641205,75.18943787,71.48718262,71.31040192,79.58579254,,,
Ukraine,UKR,96.15622711,96.50829315,97.50717926,103.3503494,102.5925369,,,,,,,,7.397079945,5.937709808,6.442699909,6.41989994,5.874939919,5.74255991,5.00977993,5.417079926,5.319920063,5.441299915,,,8.100000381,7.849999905,7.53000021,7.170000076,9.270000458,9.140000343,9.350000381,9.5,8.800000191,8.18999958,9.131999969,8.87899971,67621,49263,42650,42421,57849,,,,,,,75722,61389,57427,58950,78411,,,,,,,22161401,22024493,21921474,21823579,21661893,21538688,21426851,21297839,21154891,21013649,20424676,20307704,99.86276245,99.87239075,99.88831329,,,,86.02861023,86.7609787,87.30053711,89.11279297,89.63877869
Upper middle income,UMC,96.82537842,95.57312775,95.54576111,95.22503662,92.23545837,90.75161743,92.38529968,93.96974182,94.94059753,95.97693634,95.40643311,,4.327809811,4.238359928,3.989559889,4.091125011,4.321669817,4.219859958,4.362750053,4.296745062,4.294069767,3.916650057,4.427424908,,5.669697832,5.540519679,5.476724627,5.490642511,5.486355554,5.664970205,5.903931485,5.928038569,5.772889076,6.002883157,6.758172879,6.764275939,2983639,3243231,3266989,3064327,2992138,2893236,2960387,2981491,3034693,3148538,3258605,3040761,3250404,3204906,3178323,3170587,3041652,3177902,3207175,3150796,3341626,3473925,1218617559,1231971827,1242397540,1250802766,1260738432,1271698098,1279868389,1287349978,1294008901,1300176046,1269870114,1285529230,,,,,,,,,,,
Uruguay,URY,104.8093033,103.7869568,102.6577377,103.4294891,103.9037018,103.5109863,104.6961899,98.69988251,103.2246475,,,,,4.355269909,,4.519380093,4.584980011,4.554249763,4.382810116,4.470970154,4.662799835,4.703259945,,,7.159999847,6.309999943,6.449999809,6.440000057,6.550000191,7.489999771,7.840000153,7.889999866,8.340000153,8.880000114,10.35000038,10.44699955,,,,,4246,,,,,148,,,,,,4344,,,,,1436,,1679916,1736709,1725957,1725619,1763086,1748294,1749033,1745467,1743852,1744635,1686696,1714728,,,,100,100,100,100,100,100,100,
United States,USA,,,,,,,,98.8321991,100.0926971,100.4890518,,,,,,,,4.953410149,4.798150063,5.109220028,4.912330151,,,,9.630000114,8.949999809,8.069999695,7.369999886,6.170000076,5.28000021,4.869999886,4.360000134,3.900000095,3.670000076,8.050000191,5.464000225,,,,377311,,231900,52078,,76669,101961,,,,,334205,,214356,36772,,64864,123016,,157111093,157163170,157841889,158252925,158910317,159912569,161836238,163395307,164634753,166355636,164740393,164794747,,,,,,,,,,,
Uzbekistan,UZB,91.94624329,92.55310059,92.95034027,96.60858917,96.30272675,98.24262238,96.8192215,98.40358734,103.0236282,105.6226883,105.9979782,,,6.195859909,6.395229816,5.741909981,5.713230133,5.494440079,5.380899906,5.032820225,5.900000095,7.001860142,4.922790051,,5.400000095,5,4.900000095,4.900000095,5.099999905,5.199999809,5.199999809,5.800000191,5.835000038,5.849999905,7.040999889,7.160999775,69483,62898,45738,33535,18323,,,,,,,54415,46044,28774,17288,2548,,,,,,,12622473,12927721,13068276,13213701,13368964,13512339,13675151,13839057,13991621,14178358,14047009,14360700,100,100,,,,,,98.9449234,99.03334808,99.97644043,99.15973663
St. Vincent and the Grenadines,VCT,93.84248352,88.33087158,101.7151794,111.1350174,103.0634613,99.39427185,98.73207855,92.71186066,105.5491333,104.9141464,,,5.085229874,,,,,,5.733399868,5.73195982,5.693779945,,,,19.04999924,18.98800087,18.96500015,18.98999977,19.0529995,19.09000015,19.11000061,19.18199921,19.18000031,19.28000069,21.00200081,21.61800003,,,,,,,,,,,,,,,,,,,,,,,51746,51976,52364,52844,53327,53786,54253,54747,55279,55720,54945,55545,84.10372162,85.6710434,85.29075623,82.69663239,76.05139923,84.28093719,82.91079712,66.51934052,61.06869888,,
"Venezuela, RB",VEN,93.87696838,95.17514038,96.32138824,96.05863953,96.83641052,96.11708832,94.05079651,92.58873749,,,,,,,,,,1.930179954,1.190230012,1.344079971,,,,,7.110000134,6.900000095,6.599999905,7.539999962,6.863999844,6.079999924,5.320000172,5.050000191,5.021999836,5.096000195,6.626999855,6.413000107,50876,52781,79368,94212,89642,99384,134415,158656,,,,66370,68139,53295,68989,106131,108798,143953,166336,,,,12728031,12941283,13095403,13607727,13557468,13416397,13109698,12606669,11984547,10920757,10459875,10665579,,,,,,,,,,,
British Virgin Islands,VGB,94.62103271,87.17340088,90.80460358,93.90518951,82.55033875,95.06726074,90.59632874,95.49762726,79.60688019,81.84143066,98.12332153,,3.49770999,,,,,4.71405983,3.797420025,2.462599993,2.434390068,2.630959988,2.590500116,,,,,,,,,,,,,,33,,78,46,,,,,,,,44,,93,57,,,,,,,,,,,,,,,,,,,,,,,,80.28674316,91.60839081,81.21018982,80.13937378,95.14170074,71.6417923,76.22377777
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,,,,11.73400021,12.07999992,12.23099995,12.75500011,12.79100037,12.61699963,12.67700005,12.32499981,12.42599964,12.46800041,13.54500008,13.26500034,,,,,,,,,,,,,,,,,,,,,,,52370,52892,51856,48793,48012,49825,49316,49729,46021,43417,42978,42375,,,,,,,,,,,
Vietnam,VNM,,103.2278595,102.6396866,100.0165863,107.1828766,105.1644592,105.9639893,,110.0212097,,,,5.137219906,4.813720226,5.533289909,5.65199995,,4.465760231,4.344810009,4.085539818,4.167449951,4.061970234,,,1.110000014,1,1.029999971,1.320000052,1.25999999,1.850000024,1.850000024,1.870000005,1.159999967,2.039999962,2.390000105,2.165999889,,,,,,,,,,,,,,,,,,,,,,,51173589,51973297,52592951,53789503,54390204,55069620,55175656,55384734,55501826,55898817,55885220,56151046,98.33486938,99.30258179,99.58830261,,100,99.47605133,99.77422333,99.72022247,99.86837769,99.52092743,99.67819977
Vanuatu,VUT,83.6258316,,,91.6740036,89.28510284,,,,,89.78401947,94.18134308,,,,,,5.181950092,5.603380203,,4.533530235,,1.777879953,2.242320061,,1.850000024,1.81099999,1.851999998,1.861999989,1.807999969,1.861999989,1.776000023,1.745000005,1.809000015,1.800999999,2.118999958,2.180000067,,,,,,1503,,,,1096,873,,,,,,1797,,,,884,703,101019,103477,106409,109414,112128,114647,117992,121011,124066,127385,129865,133956,,,,,,,,,,35.99584961,
World,WLD,88.92006683,88.5017395,89.24446869,89.30233002,89.05226135,88.7156601,88.90484619,89.16243744,89.407341,89.63014221,90.14006805,,4.327809811,4.242090225,4.056019783,4.387334824,4.39978981,4.434050083,4.254079819,4.342969894,4.294069767,3.711319923,,,5.902055506,5.765093053,5.737712555,5.727648634,5.603743319,5.620229529,5.656542393,5.557650455,5.389680314,5.356914839,6.573234262,6.178059741,31417024,30969422,30693964,30265960,32261116,33491012,33278072,33507876,33476776,33792500,33871968,28822968,29592204,28286754,27424896,28902888,29702852,29042490,29304460,28162752,29018332,30290220,3137220685,3170891019,3202956082,3235252408,3270350626,3308621649,3344301920,3379672769,3414385429,3456339936,3389556200,3450067707,,,,85.85276794,85.66631317,85.13482666,83.43013,84.62663269,85.11988831,83.84062195,82.54264069
Samoa,WSM,106.4866104,105.8823471,106.2442627,110.5581436,107.5236588,110.3240204,110.7065506,107.0685577,104.7818832,108.8711395,111.3558578,,5.849999905,6.610000134,5.159999847,4.670000076,5.409999847,4.857729912,4.164060116,4.183159828,4.532149792,4.706250191,4.809160233,,5.728000164,5.679999828,8.75,8.666999817,8.720000267,8.501000404,8.30700016,8.578000069,8.68599987,8.406000137,9.149000168,9.836999893,,,,,,,,,,,,,,,,,,,,,,,49981,50404,51063,51460,51668,51588,51745,52036,52524,53065,53478,53959,,,93.48422241,93.96253204,93.88645935,,,,,,
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,65.44632721,,69.84921265,69.69535828,,,72.30039215,,,,,,,,,,,,,,,,,,12.83100033,13.23499966,13.16699982,13.26799965,13.47000027,13.77000046,13.43299961,13.29699993,13.14500046,13.05599976,13.39099979,13.57400036,467650,,423901,405279,,,431199,,,,,180503,,137297,135798,,,218703,,,,,5146313,5248763,5343592,5431786,5516486,5747437,5955038,6163987,6371618,6580962,6709734,6910837,,,,,,,,,,,
South Africa,ZAF,,,,,,90.11048889,87.25533295,,90.34449768,91.99948883,,,5.134970188,5.288980007,5.523230076,5.350719929,5.489779949,5.482850075,5.444240093,5.598670006,5.644010067,5.917709827,6.192880154,,24.68000031,24.63999939,24.72999954,24.55999947,24.88999939,25.14999962,26.54000092,27.04000092,26.90999985,28.46999931,29.21999931,33.55899811,,,,,,,,198498,386532,379344,,,,,,,,,369093,458946,463709,,18827666,19095444,19550791,20110076,20542666,21379123,21767744,22360602,22608291,22989511,21345809,22668184,,,,,,,,,,,
